Date,Operator,Aboard,Fatalities
10/17/1958,Aeroflot,80,80
10/22/1958,British European Airways,31,31
11/01/1958,Cubana de Aviacion,20,17
11/03/1958,Yemen Airlines,8,8
11/08/1958,TAM (Bolivia),3,3
11/09/1958,ARTOP Aerotopografica LDA,36,36
11/16/1958,Capitol Airways,2,2
12/04/1958,Aviaco,21,21
12/24/1958,BOAC,12,9
12/26/1958,Union Aeromaritime de Transport,70,3
12/30/1958,VASP,37,21
01/13/1962,Ethiopian Airlines,18,5
01/06/1959,Sahsa Airlines,5,5
01/08/1959,Southeast Airlines,10,10
01/11/1959,Lufthansa,39,36
01/14/1959,California Air Freight,2,2
01/16/1959,Austral Lineas Aeras (Argentina),52,51
01/21/1959,Linea Expresa Bolivar,4,4
01/22/1959,Air Jordan,15,10
01/27/1959,Air Charter,6,2
02/01/1959,General Airways,28,3
02/03/1959,Dwyer Flying Service - Private Charter,4,4
02/03/1959,American Airlines,73,65
02/17/1959,Turkish Airlines (THY),24,14
02/18/1959,Southern Cross Airways,5,5
11/21/1959,Ariana Afghan Airlines,27,24
03/05/1959,TACA,19,15
03/12/1959,Indian Airlines,7,5
03/13/1959,Aviaco,18,1
03/29/1959,Union Aeromaritime de Transport,9,9
03/29/1959,Indian Airlines,24,24
03/30/1959,Riddle Airlines,2,2
04/17/1959,Tigres Voladores,26,26
04/23/1959,Air Charter,12,12
04/29/1959,Iberia Airlines,28,28
05/02/1959,Austria-Flugdienst,5,5
05/12/1959,Capital Airlines,44,2
05/12/1959,Capital Airlines,31,31
05/13/1959,Transportes Aereos Peruanas,12,12
05/15/1959,Aerolineas Argentinas,10,10
05/21/1959,Lineas Aéreas Interpolar,8,8
06/01/1959,Aerolineas Nacionales,60,60
06/23/1959,AVIANCA,14,14
06/26/1959,Trans World Airlines,68,68
08/03/1959,Kalinga Airlines,6,6
08/14/1959,Pakistan International Airlines,3,2
08/15/1959,American Airlines,5,5
08/19/1959,Transair,32,32
08/27/1959,Aerolineas Argentinas,50,2
09/02/1959,Aaxico Airlines,2,2
09/08/1959,Mexicana,16,1
09/12/1959,Pan American World Airways,3,3
09/23/1959,VASP,20,20
09/24/1959,T.A. Intercontinentaux (France),65,53
09/24/1959,Reeve Aleutian Airlines,16,16
09/29/1959,Braniff Airlines,34,34
10/26/1959,PacifiAir Lines,19,1
10/29/1959,OlympiAirways,18,18
10/30/1959,Piedmont Airlines,27,26
11/04/1959,Wheeler Airlines,5,5
11/16/1959,National Airlines,42,42
11/16/1959,Aeroflot,40,40
11/24/1959,Trans World Airlines,3,3
12/01/1959,Allegheny Airlines,26,25
12/08/1959,Sociedad Aeronautica Medellin,45,45
12/13/1959,Aeroflot,29,29
12/17/1959,California Aircraft,3,3
12/21/1959,Alitalia,2,2
12/22/1959,VASP,33,33
12/24/1959,Garuda Indonesia Airlines,2,1
12/31/1959,Lloyd Aereo Boliviano,11,11
01/03/1960,Indian Airlines,9,9
01/06/1960,National Airlines,34,34
01/18/1960,Capital Airlines,50,50
01/19/1960,Scandinavian Airlines (SAS),42,42
05/11/1973,Aeroflot,61,61
01/21/1960,AVIANCA,46,37
01/26/1960,Transportes Aéreos de Timor,9,9
02/05/1960,Lloyd Aereo Boliviano,59,59
02/26/1960,Alitalia,52,34
02/26/1960,Aeroflot,32,32
03/15/1960,Agencia Interamericana de Aviada,13,6
03/16/1960,All Nippon Airways,33,3
03/17/1960,Northwest Orient Airlines,63,63
03/19/1960,SAMSA,46,25
04/05/1960,Lanica,18,2
04/12/1960,Cruzeiro,22,10
04/19/1960,Lloyd Aereo Colombiano,51,37
04/20/1960,Piedmont Airlines / Private,44,4
04/22/1960,Sobelair SA (Belgium),35,35
04/28/1960,Linea Aeropostal Venezolana,13,13
05/15/1960,Balair,12,12
09/07/1960,Aerolineas Argentinas,31,31
05/18/1960,Transamerican Air Transport,10,10
05/23/1960,Delta Air Lines,4,4
06/10/1960,Trans Australia Airlines,29,29
06/14/1960,PacifiNorthern Airlines,14,14
06/24/1960,REAL,54,54
07/10/1960,Gulf Aviation (Kalinga Airways),16,16
07/14/1960,Northwest Orient Airlines,58,1
07/15/1960,Ethiopian Airlines,11,1
07/27/1960,Chicago Helicopter Airways,13,13
07/31/1960,Deutsche Flugdienst,34,1
08/01/1960,TAM (Bolivia),6,6
08/17/1960,Aeroflot,35,35
08/24/1960,Don Everall Aviation,3,3
08/29/1960,Air France,63,63
09/19/1960,World Airways,94,80
09/26/1960,Austrian Airlines,37,31
09/28/1960,Mexicana,18,8
09/29/1960,United Arab Airlines,21,21
10/04/1960,Eastern Air Lines,72,62
10/14/1960,Itavia,11,11
10/15/1960,Capitol Airways,2,2
10/21/1960,Aeroflot,3,3
10/28/1960,Northwest Orient Airlines,12,12
10/29/1960,ArctiPacific,48,22
11/05/1960,Royal Nepal Airlines,4,4
11/07/1960,AREA,37,37
11/23/1960,Philippine Air Lines,33,33
12/07/1960,REAL,15,15
04/03/1961,LAN,24,24
05/10/1961,Air France,78,78
12/16/1960,United Air Lines / Trans World Airlines,128,128
12/22/1960,Philippine Air Lines,37,28
01/02/1961,Ceskoslovenske Aerolinie,10,10
01/03/1961,Finnair,25,25
01/19/1961,Aeronaves de Mexico,106,4
01/24/1961,Garuda Indonesia Airlines,21,21
01/28/1961,American Airlines,6,6
02/03/1961,Garuda Indonesia Airlines,26,26
02/15/1961,Sabena,72,72
03/09/1961,Linea Aeropostal Venezolana,12,12
03/28/1961,Ceskoslovenske Aerolinie,52,52
05/30/1961,KLM Royal Dutch Airlines,61,61
06/12/1961,KLM Royal Dutch Airlines,36,20
06/17/1961,Continentale Deutsche Luftreederei,7,1
06/30/1961,Transcontinental,35,24
07/10/1961,Aeroflot,85,1
07/11/1961,United Air Lines,122,17
07/12/1961,Ceskoslovenske Aerolinie,72,72
07/19/1961,Aerolineas Argentinas,67,67
07/21/1961,Alaska Airlines,6,6
08/06/1961,Malev Hungarian Airlines,27,27
08/09/1961,Cunard Eagle Airways,39,39
08/13/1961,Air America,6,6
08/29/1961,Eastern Provincial Airways,6,1
09/01/1961,Trans World Airlines,78,78
09/05/1961,Ethiopian Airlines,19,5
09/06/1961,Lineas Aéreas Costarricenses,2,2
12/29/1961,Garuda Indonesia Airlines,14,14
09/10/1961,President Airlines,83,83
09/12/1961,Air France,77,77
09/17/1961,United Nations Organization,16,16
09/17/1961,Northwest Orient Airlines,37,37
09/23/1961,Turkish Airlines (THY),29,28
10/07/1961,Derby Aviation,34,34
11/01/1961,Bristol 170 Freighter 31M,10,2
11/01/1961,Panair do Brasil,45,45
11/08/1961,Imperial Airways,79,77
11/11/1961,Air Haiti International,3,3
11/23/1961,Aerolineas Argentinas,52,52
11/30/1961,Ansett ANA,15,15
12/04/1961,Lufthansa,3,3
12/15/1961,Lanica,2,2
12/21/1961,British European Airways,34,27
12/24/1961,Kodiak Airways,5,1
01/22/1962,Corporacion Boliviano de Fomento,6,6
01/27/1962,Aeroflot,13,13
02/04/1962,Faucett,18,18
02/25/1962,Avensa,23,23
02/25/1962,Avianca,2,2
03/01/1962,American Airlines,95,95
03/04/1962,Caledonian Airways,111,111
03/06/1962,South African Airways,7,2
03/08/1962,Turkish Airlines (THY),11,11
03/08/1962,Societa Aerea Mediterranea,5,5
03/15/1962,Flying Tiger Line,7,1
03/15/1962,Flying Tiger Line,107,107
03/27/1962,Cubana de Aviacion,22,22
04/22/1962,AVISPA,40,40
10/12/1962,Iberia Airlines,18,18
05/06/1962,East Anglian Flying Services,18,12
05/09/1962,Cruzeiro,25,23
05/12/1962,East Provincial Airways,21,15
05/15/1962,United Arab Airlines,3,3
05/22/1962,Continental Airlines,45,45
06/03/1962,Air France,132,130
06/04/1962,Aeroflot,5,5
06/22/1962,Air France,112,112
06/28/1962,Aeroflot,81,81
06/30/1962,Aeroflot,84,84
07/06/1962,Aeroflot,14,14
07/07/1962,Alitalia,94,94
07/09/1962,Trans Mediterranean Airways,6,6
07/15/1962,Indian Airlines,3,1
07/16/1962,Kalinga Airlines,9,9
07/19/1962,United Arab Airlines,26,26
07/22/1962,Canadian PacifiAir Lines,40,27
07/28/1962,Aeroflot,81,81
07/30/1962,Air France,8,4
08/01/1962,Royal Nepal Airlines,10,10
08/20/1962,Panair do Brazil,105,15
08/23/1962,Taxader Airlines,32,20
08/24/1962,Faucett,9,9
09/02/1962,Aeroflot,86,86
09/04/1962,Private - Ashland Oil Company,13,13
09/10/1962,Ceskoslovenske Aerolinie,34,11
09/10/1962,Aerolineas Abaroa,4,4
09/21/1962,Kalinga Airlines,8,8
09/23/1962,Flying Tiger Line,76,28
10/10/1962,Trans Canada Air Lines,19,2
10/12/1962,Philippine Air Lines,3,3
10/12/1973,Avionas  Banamex,8,8
10/19/1962,Allegheny Airlines,52,1
10/25/1962,Aeroflot,10,10
11/10/1962,Air Vietnam (South Vietnam),27,27
11/19/1962,All Nippon Airways,4,4
11/23/1962,United Air Lines,18,18
11/23/1962,Malev Hungarian Airlines,21,21
11/26/1962,VASP / Private,26,26
11/27/1962,Varig,97,97
11/30/1962,Eastern Air Lines,51,25
12/06/1962,Taxader Airlines,26,24
12/14/1962,Panair do Brasil,50,50
12/14/1962,Flying Tiger Line,5,5
12/19/1962,LOT Polish Airlines,33,33
12/22/1962,Varig,40,1
